path,sentence,age,gender,accents
common_voice_en_38024781.mp3,"This cartoon has its limits, but it does provide some challenge.",thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38024783.mp3,"This is related to the unit of length termed ""cable length"".",thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38024805.mp3,The segments behind it gradually taper towards the tip.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38024828.mp3,"Births take place in dens, usually located in dense vegetation.",thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025093.mp3,The Projector had a number of defects.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025103.mp3,These three faces are parallelograms.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025117.mp3,But this is not always to stand disgraceful.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025128.mp3,It was the highest rated show of the week it aired.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025136.mp3,Cola Debrot has also been active as a politician.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025153.mp3,The company also offers workplace consulting services.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025154.mp3,The film has since gone on to become a cult favorite.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025160.mp3,"It is enough that daylight comes, morning comes, noon comes.",thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025181.mp3,It granted its owner the power to become invisible at will.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025214.mp3,Transitional seasons are short.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025218.mp3,"Instead of an annual quota, figures will be revised every six months.",thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025223.mp3,The following political parties are defunct.,thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025267.mp3,"In the United States, this job is called a bank teller.",thirties,female,"Southern African (South Africa, Zimbabwe, Namibia)"
common_voice_en_38025397.mp3,"It was not used for navigation, but rather for geomancy and fortune-telling.",twenties,male,"My accent is influenced by the phones of all letters within a sentence.,Southern African (South Africa, Zimbabwe, Namibia)"
